frame,tipo_objeto,conf,track_id,x1,y1,x2,y2,conf_matricula,mx1,my1,mx2,my2,texto_matricula
82,car,0.619,2,1282,315,1319,353,0.0,0.0,0.0,0.0,0.0,
83,bus,0.884,1,1311,215,1498,387,0.0,0.0,0.0,0.0,0.0,
83,car,0.589,2,1282,315,1318,353,0.0,0.0,0.0,0.0,0.0,
84,bus,0.867,1,1309,216,1494,387,0.0,0.0,0.0,0.0,0.0,
84,car,0.604,2,1282,314,1317,352,0.0,0.0,0.0,0.0,0.0,
85,bus,0.881,1,1310,217,1493,386,0.0,0.0,0.0,0.0,0.0,
85,car,0.641,2,1282,314,1317,352,0.0,0.0,0.0,0.0,0.0,
86,bus,0.884,1,1310,218,1492,386,0.0,0.0,0.0,0.0,0.0,
86,car,0.619,2,1281,315,1316,352,0.0,0.0,0.0,0.0,0.0,
87,bus,0.9,1,1308,218,1489,386,0.0,0.0,0.0,0.0,0.0,
87,car,0.657,2,1281,315,1315,351,0.0,0.0,0.0,0.0,0.0,
88,bus,0.897,1,1306,218,1485,385,0.0,0.0,0.0,0.0,0.0,
88,car,0.644,2,1281,314,1315,351,0.0,0.0,0.0,0.0,0.0,
89,bus,0.896,1,1306,219,1482,384,0.0,0.0,0.0,0.0,0.0,
89,car,0.693,2,1280,314,1315,352,0.0,0.0,0.0,0.0,0.0,
89,car,0.66,7,1466,322,1518,384,0.0,0.0,0.0,0.0,0.0,
90,bus,0.882,1,1307,220,1480,383,0.0,0.0,0.0,0.0,0.0,
90,car,0.665,2,1279,314,1315,352,0.0,0.0,0.0,0.0,0.0,
90,car,0.749,7,1462,321,1515,384,0.0,0.0,0.0,0.0,0.0,
91,bus,0.882,1,1306,221,1479,384,0.0,0.0,0.0,0.0,0.0,
91,car,0.653,2,1279,315,1314,353,0.0,0.0,0.0,0.0,0.0,
91,car,0.722,7,1463,321,1517,385,0.0,0.0,0.0,0.0,0.0,
92,bus,0.88,1,1306,220,1477,384,0.0,0.0,0.0,0.0,0.0,
92,car,0.659,2,1278,315,1312,353,0.0,0.0,0.0,0.0,0.0,
92,car,0.714,7,1463,322,1516,385,0.0,0.0,0.0,0.0,0.0,
93,bus,0.849,1,1305,221,1475,384,0.0,0.0,0.0,0.0,0.0,
93,car,0.641,2,1277,315,1311,352,0.0,0.0,0.0,0.0,0.0,
93,car,0.652,7,1460,321,1514,385,0.0,0.0,0.0,0.0,0.0,
94,bus,0.765,1,1304,223,1471,384,0.0,0.0,0.0,0.0,0.0,
94,car,0.51,2,1275,313,1310,352,0.0,0.0,0.0,0.0,0.0,
94,car,0.572,7,1459,321,1514,385,0.0,0.0,0.0,0.0,0.0,
94,person,0.748,3,0,250,134,469,0.0,0.0,0.0,0.0,0.0,
95,bus,0.825,1,1304,224,1468,383,0.0,0.0,0.0,0.0,0.0,
95,car,0.473,2,1274,313,1310,351,0.0,0.0,0.0,0.0,0.0,
95,car,0.686,7,1455,321,1511,385,0.0,0.0,0.0,0.0,0.0,
95,person,0.805,3,0,237,139,482,0.0,0.0,0.0,0.0,0.0,
96,bus,0.714,1,1303,224,1467,383,0.0,0.0,0.0,0.0,0.0,
96,car,0.431,2,1273,311,1310,351,0.0,0.0,0.0,0.0,0.0,
96,car,0.664,7,1453,321,1510,385,0.0,0.0,0.0,0.0,0.0,
96,person,0.834,3,0,231,140,489,0.0,0.0,0.0,0.0,0.0,
97,bus,0.713,1,1304,225,1466,383,0.0,0.0,0.0,0.0,0.0,
97,car,0.504,2,1272,311,1309,352,0.0,0.0,0.0,0.0,0.0,
97,car,0.667,7,1452,321,1511,384,0.0,0.0,0.0,0.0,0.0,
97,person,0.868,3,0,229,138,494,0.0,0.0,0.0,0.0,0.0,
98,bus,0.8,1,1305,226,1464,383,0.0,0.0,0.0,0.0,0.0,
98,car,0.428,2,1271,310,1309,352,0.0,0.0,0.0,0.0,0.0,
98,car,0.652,7,1451,321,1510,384,0.0,0.0,0.0,0.0,0.0,
98,person,0.886,3,0,229,134,494,0.0,0.0,0.0,0.0,0.0,
99,bus,0.748,1,1304,227,1462,382,0.0,0.0,0.0,0.0,0.0,
99,car,0.412,2,1271,309,1309,352,0.0,0.0,0.0,0.0,0.0,
99,car,0.638,7,1450,320,1511,384,0.0,0.0,0.0,0.0,0.0,
99,person,0.883,3,0,229,129,494,0.0,0.0,0.0,0.0,0.0,
100,bus,0.804,1,1304,227,1460,381,0.0,0.0,0.0,0.0,0.0,
100,car,0.701,7,1446,320,1509,384,0.0,0.0,0.0,0.0,0.0,
100,person,0.87,3,0,229,126,499,0.0,0.0,0.0,0.0,0.0,
101,bus,0.707,1,1303,227,1459,382,0.0,0.0,0.0,0.0,0.0,
101,car,0.606,7,1446,319,1511,385,0.0,0.0,0.0,0.0,0.0,
101,person,0.874,3,0,229,123,499,0.0,0.0,0.0,0.0,0.0,
102,bus,0.689,1,1304,228,1458,381,0.0,0.0,0.0,0.0,0.0,
102,car,0.624,7,1446,319,1513,385,0.0,0.0,0.0,0.0,0.0,
102,person,0.86,3,0,229,121,497,0.0,0.0,0.0,0.0,0.0,
103,bus,0.823,1,1304,228,1456,381,0.0,0.0,0.0,0.0,0.0,
103,car,0.791,7,1444,319,1512,385,0.0,0.0,0.0,0.0,0.0,
103,person,0.848,3,0,228,120,495,0.0,0.0,0.0,0.0,0.0,
104,bus,0.73,1,1302,228,1455,380,0.0,0.0,0.0,0.0,0.0,
104,car,0.811,7,1442,319,1512,385,0.0,0.0,0.0,0.0,0.0,
104,person,0.842,3,0,228,123,494,0.0,0.0,0.0,0.0,0.0,
105,bus,0.669,1,1302,229,1453,380,0.0,0.0,0.0,0.0,0.0,
105,car,0.813,7,1441,319,1512,384,0.0,0.0,0.0,0.0,0.0,
105,person,0.867,3,0,228,127,494,0.0,0.0,0.0,0.0,0.0,
106,bus,0.725,1,1302,230,1452,379,0.0,0.0,0.0,0.0,0.0,
106,car,0.811,7,1441,319,1513,384,0.0,0.0,0.0,0.0,0.0,
106,person,0.858,3,0,229,133,493,0.0,0.0,0.0,0.0,0.0,
106,car,0.54,2,1267,312,1302,350,0.0,0.0,0.0,0.0,0.0,
107,truck,0.555,1,1300,232,1449,379,0.0,0.0,0.0,0.0,0.0,
107,car,0.802,7,1441,319,1514,384,0.0,0.0,0.0,0.0,0.0,
107,person,0.859,3,9,230,144,494,0.0,0.0,0.0,0.0,0.0,
107,car,0.544,2,1265,312,1301,350,0.0,0.0,0.0,0.0,0.0,
108,bus,0.6,1,1300,232,1448,380,0.0,0.0,0.0,0.0,0.0,
108,car,0.808,7,1439,319,1513,384,0.0,0.0,0.0,0.0,0.0,
108,person,0.876,3,22,231,155,493,0.0,0.0,0.0,0.0,0.0,
